name,radius,distance
HD 83443 b,14.35,43.54
HD 8535 b,14.10,52.50
HD 85390 b,7.38,33.96
HD 85390 c,10.10,33.96
HD 85512 b,1.60,11.15
HD 8574 b,13.59,44.20
HD 86081 b,13.74,91.00
HD 86226 b,13.74,42.48
HD 86264 b,13.07,72.60
HD 8673 b,12.77,38.25
HD 87883 b,12.83,18.10
HD 88133 b,9.83,74.50
HD 89307 b,13.61,30.90
HD 89744 b,13.05,40.00
HD 89744 c,13.34,40.00
HD 90156 b,4.61,39.60
HD 92788 b,13.32,32.82
HD 92788 c,13.91,32.82
HD 93083 b,14.39,28.90
HD 93385 b,2.42,42.20
HD 93385 c,3.33,42.20
HD 9446 b,14.09,53.00
HD 9446 c,13.66,53.00
HD 95086 b,13.19,90.40
HD 95089 b,13.84,139.00
HD 9578 b,14.08,57.24
HD 96063 b,13.97,158.00
HD 96127 b,13.31,540.00
HD 96167 b,14.10,84.00
HD 96700 b,2.53,25.60
HD 96700 c,3.78,25.60
HD 97658 b,2.34,21.10
HD 98219 b,13.66,134.00
HD 98649 b,13.02,40.30
HD 99109 b,14.24,60.50
HD 99492 b,6.63,18.00
HD 99492 c,14.40,18.00
HD 99706 b,13.77,129.00
HIP 12961 b,14.41,23.00
HIP 13044 b,13.82,701.00
HIP 14810 b,13.32,52.90
HIP 14810 c,13.81,52.90
HIP 14810 d,14.18,52.90
HIP 5158 b,13.76,45.00
HIP 5158 c,12.74,45.00
HIP 57050 b,11.65,11.00
HIP 57274 b,3.57,25.92
HIP 57274 c,14.34,25.92
HIP 57274 d,14.22,25.92
HIP 63242 b,12.89,135.00
HIP 70849 b,12.96,24.00
HIP 75458 b,12.97,31.50
HIP 77900 b,12.56,
HIP 78530 b,12.57,156.70
HIP 79431 b,13.59,14.40
HIP 91258 b,13.83,44.90
HN Peg b,12.32,18.40
HR 228 b,13.47,
HR 228 c,13.47,
HR 810 b,13.56,17.17
HR 8799 b,12.32,39.40
HR 8799 c,14.56,39.40
HR 8799 d,13.44,39.40
HR 8799 e,12.96,39.40
HU Aqr(AB) c,13.08,
HW Vir(AB) b,12.76,181.00
kappa And b,12.74,51.60
kappa CrB b,13.71,31.10
KELT-1 b,12.50,263.00
KELT-2A b,14.63,128.90
KELT-3 b,14.93,178.00
KELT-6 b,13.33,
Kepler-10 b,1.41,173.00
Kepler-10 c,2.23,173.00
Kepler-11 b,1.80,
Kepler-11 c,2.87,
Kepler-11 d,3.12,
Kepler-11 e,4.53,
Kepler-11 f,2.49,
Kepler-11 g,3.67,
Kepler-12 b,18.98,
Kepler-13 b,20.50,
Kepler-14 b,12.72,980.00
Kepler-15 b,10.75,
Kepler-16(AB) b,8.44,
Kepler-17 b,14.69,800.00
Kepler-18 b,2.00,
Kepler-18 c,5.48,
Kepler-18 d,6.96,
Kepler-19 b,2.22,
Kepler-20 b,1.90,290.00
Kepler-20 c,3.06,290.00
Kepler-20 d,2.80,290.00
Kepler-20 e,0.87,290.00
Kepler-20 f,1.01,290.00
Kepler-21 b,1.63,108.00
Kepler-22 b,2.35,190.00
Kepler-23 b,1.90,
Kepler-23 c,3.25,
Kepler-24 b,2.35,
Kepler-24 c,2.80,
Kepler-25 b,2.58,
Kepler-25 c,4.48,
Kepler-26 b,3.58,
Kepler-26 c,3.58,
Kepler-27 b,4.03,
Kepler-27 c,4.93,
Kepler-28 b,3.58,
Kepler-28 c,3.36,
Kepler-29 b,3.58,
Kepler-29 c,2.91,
Kepler-30 b,3.92,
Kepler-30 c,12.32,
Kepler-30 d,8.85,
Kepler-31 b,4.26,
Kepler-31 c,4.26,
Kepler-32 b,4.14,
Kepler-32 c,3.70,
Kepler-33 b,1.79,
Kepler-33 c,3.25,
Kepler-33 d,5.38,
Kepler-33 e,4.03,
Kepler-33 f,4.48,
Kepler-34(AB)  b,8.55,1499.00
Kepler-35(AB) b,8.15,1645.00
Kepler-36 b,1.48,
Kepler-36 c,3.68,
Kepler-37 b,0.30,66.00
Kepler-37 c,0.74,66.00
Kepler-37 d,1.98,66.00
Kepler-38(AB) b,4.37,
Kepler-39 b,13.66,1200.00
Kepler-4 b,4.00,550.00
Kepler-40 b,13.10,2700.00
Kepler-41  b,9.42,730.00
Kepler-42 b,0.78,38.70
Kepler-42 c,0.73,38.70
Kepler-42 d,0.57,38.70
Kepler-43 b,13.44,1950.00
Kepler-44 b,13.89,2250.00
Kepler-45 b,10.75,333.00
Kepler-46 b,9.09,857.00
Kepler-46 c,14.38,857.00
Kepler-47(AB) b,3.02,
Kepler-47(AB) c,4.59,
Kepler-48 b,2.02,
Kepler-48 c,3.36,
Kepler-49 b,2.69,
Kepler-49 c,2.58,
Kepler-5 b,16.03,
Kepler-50 b,2.24,
Kepler-50 c,2.80,
Kepler-51 b,7.06,
Kepler-51 c,5.71,
Kepler-52 b,2.13,
Kepler-52 c,1.79,
Kepler-53 b,2.91,
Kepler-53 c,3.14,
Kepler-54 b,2.13,
Kepler-54 c,1.23,
Kepler-55 b,2.46,
Kepler-55 c,2.24,
Kepler-56 b,6.50,
Kepler-56 c,9.86,
Kepler-56 d,13.33,
Kepler-57 b,2.24,
Kepler-57 c,1.57,
Kepler-58 b,2.80,
Kepler-58 c,2.91,
Kepler-59 b,1.10,
Kepler-59 c,2.02,
Kepler-6 b,14.82,
Kepler-60 b,2.24,
Kepler-60 c,2.46,
Kepler-60 d,2.58,
Kepler-61 b,2.15,326.00
Kepler-62 b,1.31,368.00
Kepler-62 c,0.54,368.00
Kepler-62 d,1.95,368.00
Kepler-62 e,1.61,368.00
Kepler-62 f,1.41,368.00
Kepler-63 b,6.10,200.00
Kepler-65 b,1.42,
Kepler-65 c,2.58,
Kepler-65 d,1.51,
Kepler-66 b,2.80,1107.00
Kepler-67 b,2.91,1107.00
Kepler-68 b,2.30,135.00
Kepler-68 c,0.91,135.00
Kepler-68 d,13.89,135.00
Kepler-69 b,2.24,
Kepler-69 c,1.71,
Kepler-7 b,18.08,
Kepler-70  b,0.76,1180.00
Kepler-70 c,0.87,1180.00
Kepler-71 b,11.71,
Kepler-74 b,14.78,1330.00
Kepler-75 b,11.54,1140.00
Kepler-76 b,14.00,
Kepler-77 b,10.75,570.00
Kepler-78 b,1.20,
Kepler-79 b,3.30,
Kepler-79 c,3.73,
Kepler-79 d,7.17,
Kepler-79 e,3.49,
Kepler-8 b,15.89,1330.00
Kepler-80 b,2.35,
Kepler-80 c,2.58,
Kepler-80 d,1.40,
Kepler-80 e,1.50,
Kepler-80 f,1.30,
Kepler-81 b,2.54,
Kepler-81 c,2.45,
Kepler-82 b,4.00,
Kepler-82 c,5.30,
Kepler-83 b,2.34,
Kepler-83 c,1.94,
Kepler-84 b,2.20,
Kepler-84 c,2.40,
Kepler-85 b,1.99,
Kepler-85 c,2.21,
Kepler-86 b,10.14,
Kepler-87 b,13.55,
Kepler-87 c,6.15,
Kepler-88 b,4.22,385.00
Kepler-88 c,14.04,385.00
Kepler-89 b,1.71,
Kepler-89 c,4.32,
Kepler-89 d,11.20,
Kepler-89 e,6.16,
Kepler-9 b,9.42,
Kepler-9 c,9.21,
Kepler-9 d,1.65,
Kepler-90 b,1.31,
Kepler-90 c,1.19,
Kepler-90 d,2.88,
Kepler-90 e,2.67,
Kepler-90 f,2.89,
Kepler-90 g,8.12,
Kepler-90 h,11.31,
KIC-10255705 b,7.28,
KIC-10905746 b,2.65,
KIC-11152511 b,4.03,
KIC-12351927(AB) b,4.37,
KIC-12454613 b,2.69,
KIC-12557548 b,0.85,470.00
KIC-5010054 b,6.94,
KIC-5094412 b,5.71,
KIC-5522786 b,1.23,
KIC-5732155 b,12.77,
KIC-6185331 b,8.06,
KIC-6372194 b,8.29,
KIC-6436029 c,3.07,
KIC-8852719 b,3.53,
KIC-9662267 b,3.81,
KIC-9704149 b,4.48,
KOI-111 b,2.14,
KOI-111 c,2.05,
KOI-115 b,4.82,
KOI-115 c,1.91,
KOI-117 b,1.58,
KOI-117 c,1.71,
KOI-1203 b,2.90,
KOI-1203 c,2.80,
KOI-1215 b,2.92,
KOI-1215 c,3.36,
KOI-1236 b,4.31,
KOI-1236 c,3.10,
KOI-1278 b,2.46,
KOI-1278 c,3.10,
KOI-156 b,1.18,
KOI-156 c,1.60,
KOI-156 d,2.53,
KOI-1563 b,3.61,
KOI-1563 c,3.30,
KOI-1576 c,2.80,
KOI-1676 b,3.20,
KOI-1781 b,1.88,
KOI-1843 b,0.58,
KOI-1873 b,2.31,
KOI-1873 c,5.41,
KOI-202 b,11.42,
KOI-2025 b,3.10,
KOI-2025 c,2.80,
KOI-206 b,7.84,
KOI-2672 b,3.47,
KOI-2672 c,5.26,
KOI-274 b,1.13,
KOI-274 c,1.13,
KOI-282 b,2.90,
KOI-285 b,3.52,
KOI-285 c,2.61,
KOI-370 b,2.65,
KOI-370 c,4.42,
KOI-523 b,2.90,
KOI-523 c,7.11,
KOI-680 b,7.28,
KOI-730 b,3.47,
KOI-730 c,2.58,
KOI-730 d,2.80,
KOI-730 e,2.02,
KOI-82 b,2.20,
KOI-82 c,1.34,
KOI-82 d,0.69,
KOI-834 b,5.61,
KOI-834 c,2.00,
ksi Aql b,13.46,62.70
LKCA 15 b,13.13,145.00
MOA-2007-BLG-192-L b,1.54,700.00
MOA-2007-BLG-400-L b,13.97,6000.00
MOA-2008-BLG-310-L b,10.07,6000.00
